sample	category
DTB-205-BL	GNAS
DTB-205-BL	TBC1D2
DTB-205-BL	ZBTB16
DTB-205-BL	TMPRSS2
DTB-206-BL	TMPRSS2
DTB-206-BL	RB1
DTB-206-BL	TSC2
DTB-210-BL	TTC28
DTB-210-BL	ZBTB16
DTB-210-BL	ARID2
DTB-213-BL	MGA
DTB-214-BL	ELK4
DTB-214-BL	MSH2
DTB-214-BL	IGF2R
DTB-214-BL	PRKDC
DTB-214-BL	TCF12
DTB-216-PRO	PMS1
DTB-216-PRO	TP53
DTB-216-PRO	TCF12
DTB-216-PRO	BAG4
DTB-216-PRO	TMPRSS2
DTB-220-BL	TTC28
DTB-220-BL	PTPRD
DTB-222-BL	ETV1
DTB-222-BL	ATM
DTB-223-BL	TTC28
DTB-223-BL	TMPRSS2
DTB-232-PRO	TTC28
DTB-232-PRO	TP53
DTB-232-PRO	TMPRSS2
DTB-234-BL	PIK3CA
DTB-234-BL	ATR
DTB-234-BL	TTC28
DTB-234-BL	TMPRSS2
DTB-251-BL	TTC28
DTB-252-BL	PTEN
DTB-252-BL	TTC28
DTB-255-BL	TTC28
DTB-255-BL	CHD3
DTB-255-BL	TMPRSS2
DTB-258-BL	RB1
DTB-261-BL	ZFHX3
DTB-261-BL	SMARCA1
DTB-265-PRO	COL5A3
DTB-265-PRO	TTC28
DTB-265-PRO	CHD1
DTB-265-PRO	KMT2A
DTB-265-PRO	ZBTB16
DTB-266-BL	TMPRSS2
01115154-TA1	MTOR
01115154-TA1	ELK4
01115154-TA1	XPO1
01115154-TA1	BAG4
01115154-TA1	MYC
01115154-TA1	ADAMTS8
01115156-TA1	SLC4A2
01115156-TA1	NCOR2
01115156-TA1	AR
01115156-TC5	HRAS
01115156-TC5	CCND1
01115156-TC5	NCOR2
01115156-TC5	AR
01115157-TA3	MTOR
01115157-TA3	TAF1L
01115157-TA3	U2AF1
01115157-TC3	HDAC4
01115157-TC3	EHHADH
01115157-TC3	TAF1L
01115157-TC3	BRCA1
01115157-TC3	ETV4
01115157-TC3	PIK3R2
01115157-TC3	TRPM4
01115157-TC3	MED12
01115183-TA1	TAF1L
01115183-TA1	MAP2K1
01115183-TA1	TSC2
01115202-TC2	XPO1
01115202-TC2	SMARCAD1
01115202-TC2	MAP3K1
01115202-TC2	RASA1
01115202-TC2	APC
01115202-TC2	TCERG1
01115202-TC2	BRAF
01115202-TC2	SLC4A2
01115202-TC2	NKX3-1
01115202-TC2	MYC
01115202-TC2	TBC1D2
01115202-TC2	PAX6
01115202-TC2	CCND1
01115202-TC2	ATM
01115202-TC2	USP28
01115202-TC2	ZBTB16
01115202-TC2	KMT2A
01115202-TC2	KMT2D
01115202-TC2	CDK4
01115202-TC2	RNF31
01115202-TC2	FOXA1
01115202-TC2	PPL
01115202-TC2	PALB2
01115202-TC2	CDC27
01115202-TC2	MBD1
01115202-TC2	ERCC2
01115202-TC2	CNOT3
01115202-TC2	CHD6
01115202-TC2	ITSN1
01115202-TC2	TMPRSS2
01115202-TC2	SMARCA1
01115244-TA3	PTPRC
01115244-TA3	CDC27
01115244-TA3	AR
01115248-TA3	IDH1
01115248-TA3	IL6ST
01115248-TA3	PAX6
01115248-TA3	BRCA2
01115248-TA3	FOXA1
01115248-TA3	CDH1
01115248-TA3	PRPF8
01115248-TA3	MYBBP1A
01115248-TA3	ERCC2
01115248-TA3	ERG
01115248-TA3	AR
01115248-TA3	SMARCA1
01115249-TC5	MTOR
01115249-TC5	ITSN2
01115249-TC5	TAP1
01115249-TC5	WRN
01115249-TC5	WASF3
01115249-TC5	TP53
01115249-TC5	CHD3
01115249-TC5	CNOT3
01115249-TC5	MED12
01115249-TC5	ZMYM3
01115257-TA4	HDAC4
01115257-TA4	FANCD2
01115257-TA4	MET
01115257-TA4	KMT2C
01115257-TA4	MYC
01115257-TA4	RB1
01115257-TA4	PRPF8
01115257-TA4	CDC27
01115257-TA4	SPOP
01115257-TA4	TMPRSS2
01115257-TA4	MED12
01115263-TA3	PTPRC
01115263-TA3	NCOR1
01115284-TA9	ELK4
01115284-TA9	XPO1
01115284-TA9	SF3B1
01115284-TA9	APC
01115284-TA9	NOX3
01115284-TA9	PTEN
01115284-TA9	USP7
01115284-TA9	NCOR1
01115326-TA3	ARID1A
01115326-TA3	ETV5
01115326-TA3	RNF31
01115326-TA3	PALB2
01115326-TA3	FANCA
01115326-TA3	AXL
01115374-TA2	FANCD2
01115374-TA2	SEL1L3
01115374-TA2	SAMD9
01115374-TA2	KMT2C
01115374-TA2	NKX3-1
01115374-TA2	RSPO2
01115374-TA2	MYC
01115374-TA2	FANCG
01115374-TA2	TBC1D2
01115374-TA2	ADAMTS8
01115374-TA2	STAB2
01115374-TA2	NCOR2
01115374-TA2	TSC2
01115374-TA2	RNF43
01115374-TA2	COL5A3
01115374-TA2	CNOT3
01115374-TA2	MATN4
01115374-TA2	AR
01115378-TA2	MTOR
01115378-TA2	ZFP36L2
01115378-TA2	SEL1L3
01115378-TA2	SSR1
01115378-TA2	WRN
01115378-TA2	CCND1
01115378-TA2	NCOR2
01115414-TA1	ELK4
01115414-TA1	SMARCAD1
01115414-TA1	CHD1
01115414-TA1	TAP1
01115414-TA1	TBC1D2
01115414-TA1	TSC1
01115414-TA1	CCND1
01115414-TA1	MRE11
01115414-TA1	CDK4
01115414-TA1	FOXA1
01115414-TA1	BLM
01115414-TA1	USP7
01115414-TA1	NF1
01115414-TA1	CDK12
01115414-TA1	CTDP1
01115414-TA1	ERCC2
01115414-TA1	GNAS
01115444-TA5	NBN
01115444-TA5	TCF12
01115468-TA3	XPO1
01115468-TA3	TBC1D2
01115468-TA3	ZBTB16
01115468-TA3	NCOR2
01115468-TA3	FOXA1
01115503-TC2	FANCD2
01115503-TC2	TCERG1
01115503-TC2	SAMD9
01115503-TC2	SLC4A2
01115503-TC2	NKX3-1
01115503-TC2	RSPO2
01115503-TC2	FANCG
01115503-TC2	TBC1D2
01115503-TC2	ADAMTS8
01115503-TC2	NCOR2
01115503-TC2	TSC2
01115503-TC2	RNF43
01115503-TC2	COL5A3
01115503-TC2	CNOT3
01115503-TC2	MATN4
01115503-TC2	AR
01115525-TA1	ETV3
01115525-TA1	PTPRC
01115525-TA1	ELK4
01115525-TA1	PIK3CB
01115525-TA1	IL6ST
01115525-TA1	SLC4A2
01115525-TA1	CDKN2A
01115525-TA1	CCND1
01115525-TA1	NCOR2
01115525-TA1	BRCA1
01115525-TA1	ETV4
01115531-TA4	TAP1
01115531-TA4	BRAF
01115531-TA4	SLC4A2
01115531-TA4	KMT2C
01115531-TA4	RAG1
01115531-TA4	AXIN2
01115531-TA4	KEAP1
01115531-TA4	AR
01115549-TA4	GEMIN5
01115549-TA4	NDST2
01115549-TA4	NCOR2
01115549-TA4	BLM
01115554-TA2	ITSN2
01115554-TA2	KMT2C
01115554-TA2	MAP2K4
01115554-TA2	ERG
01115554-TA2	TMPRSS2
01115556-TC1	KEAP1
01115556-TC1	AR
01115569-TC1	PYHIN1
01115569-TC1	ETV5
01115569-TC1	PDS5A
01115569-TC1	RASA1
01115569-TC1	APC
01115569-TC1	NKX3-1
01115569-TC1	PRKDC
01115569-TC1	COL5A1
01115569-TC1	NF1
01115569-TC1	RNF43
01115569-TC1	ERCC2
01115574-TC3	TAP1
01115574-TC3	KMT2C
01115574-TC3	RNF31
01115574-TC3	NF1
01115574-TC3	BRCA1
01115574-TC3	AR
01115576-TC2	MTOR
01115576-TC2	MYC
01115576-TC2	NCOR2
01115576-TC2	ERCC2
01115577-TC1	RPRD2
01115577-TC1	NBN
01115577-TC1	CDC27
01115577-TC1	AXIN2
01115577-TC1	AR
01115578-TC4	CTNNB1
01115578-TC4	RNF31
01115578-TC4	U2AF1
01115581-TA3	PDS5A
01115581-TA3	KRAS
01115581-TA3	BRCA2
01115581-TA3	FOXA1
01115581-TA3	FANCA
01115589-TC2	BRAF
01115589-TC2	ADAMTS8
01115589-TC2	NCOR2
01115589-TC2	MAP2K1
01115589-TC2	FANCA
01115589-TC2	PIK3R2
01115589-TC2	ERCC2
01115606-TA2	MTOR
01115606-TA2	JAK1
01115606-TA2	SEL1L3
01115644-TA1	SLC4A2
01115644-TA1	NCOR2
01115644-TA1	FOXA1
01115644-TA1	USP7
01115644-TA1	ERF
01115644-TA1	U2AF1
01115655-TA1	PTPRC
01115655-TA1	SF3B1
01115655-TA1	SETD2
01115655-TA1	DHX30
01115655-TA1	KMT2C
01115655-TA1	CDK4
01115655-TA1	FOXA1
01115655-TA1	AKT1
01115655-TA1	TSC2
01115655-TA1	KEAP1
01115655-TC1	PTPRC
01115655-TC1	SF3B1
01115655-TC1	APC
01115655-TC1	HRAS
01115655-TC1	GPR19
01115655-TC1	CDKN1B
01115655-TC1	KMT2D
01115655-TC1	CDK4
01115655-TC1	FOXA1
01115655-TC1	ERCC2
01115668-TA4	SETDB1
01115668-TA4	NDST2
01115668-TA4	USP7
01115668-TA4	TRPM4
01115668-TA4	CNOT3
01115668-TA4	TMPRSS2
01115669-TA3	MAP3K1
01115669-TA3	RNF31
01115669-TA3	AKT1
01115669-TA3	NF1
06115115-T	BRAF
06115115-T	SLC4A2
06115115-T	ERF
06115117-T	SETD2
06115117-T	AR
06115118-T	IL6ST
06115118-T	AR
6115233-T-C1	MYC
6115233-T-C1	PTEN
6115233-T-C1	CCND1
6115233-T-C1	FOXA1
6115233-T-C1	AR
DTB-003-BL	CTNNB1
DTB-003-BL	TAP1
DTB-003-BL	IGF2R
DTB-003-BL	COL5A1
DTB-003-BL	RAD51B
DTB-003-BL	MGA
DTB-003-BL	MAP2K4
DTB-003-BL	ERF
DTB-005-BL	EHHADH
DTB-005-BL	SPATA18
DTB-005-BL	BAG4
DTB-005-BL	NBN
DTB-005-BL	PAX6
DTB-005-BL	USP7
DTB-005-BL	CHD6
DTB-008-BL	ZFP36L2
DTB-008-BL	CDKN2A
DTB-008-BL	HRAS
DTB-008-BL	FOXA1
DTB-008-BL	ETV4
DTB-008-BL	AR
DTB-009-BL	U2AF1
DTB-011-BL	ZFP36L2
DTB-011-BL	SPATA18
DTB-011-BL	KMT2D
DTB-018-BL	SETD2
DTB-018-BL	DHX30
DTB-018-BL	PTEN
DTB-018-BL	FOXA1
DTB-018-BL	AKT1
DTB-018-BL	TP53
DTB-018-BL	CHD3
DTB-019-PRO	BAG4
DTB-019-PRO	PTPRD
DTB-019-PRO	NF1
DTB-019-PRO	AR
DTB-020-BL	CUL3
DTB-020-BL	PDS5A
DTB-020-BL	TAP1
DTB-020-BL	PTEN
DTB-020-BL	ADAMTS8
DTB-020-BL	KMT2D
DTB-020-BL	WASF3
DTB-020-BL	CNOT3
DTB-020-BL	AR
DTB-021-BL	MYC
DTB-021-BL	ERCC2
DTB-021-BL	AR
DTB-022-BL	SETD2
DTB-022-BL	DHX30
DTB-022-BL	FOXA1
DTB-022-BL	USP7
DTB-022-BL	AR
DTB-023-BL	PYHIN1
DTB-023-BL	SH3RF1
DTB-023-BL	APC
DTB-023-BL	GEMIN5
DTB-023-BL	SSR1
DTB-023-BL	NBN
DTB-023-BL	PIK3R2
DTB-024-PRO	ETV5
DTB-024-PRO	ZFP36L1
DTB-024-PRO	AR
DTB-034-BL	JADE2
DTB-034-BL	PALB2
DTB-034-BL	CDC27
DTB-034-BL	SPOP
DTB-034-BL	AR
DTB-035-BL	ARID1A
DTB-035-BL	CHD1
DTB-035-BL	SLC4A2
DTB-035-BL	TAF1L
DTB-035-BL	FOXA1
DTB-035-BL	ZFHX3
DTB-035-BL	AR
DTB-036-BL	SLC4A2
DTB-036-BL	GPR19
DTB-036-BL	CDKN1B
DTB-036-BL	KRAS
DTB-037-BL	CCND1
DTB-037-BL	AKT1
DTB-037-BL	NF1
DTB-040-BL	SETD2
DTB-040-BL	IL6ST
DTB-040-BL	RB1
DTB-040-BL	FANCA
DTB-040-BL	CTDP1
DTB-042-BL	TAP1
DTB-042-BL	WRN
DTB-042-BL	CDKN2A
DTB-042-BL	PTEN
DTB-042-BL	NF1
DTB-042-BL	AR
DTB-053-BL	CHD1
DTB-053-BL	TAP1
DTB-053-BL	FOXA1
DTB-053-BL	MAP2K1
DTB-053-BL	PIK3R2
DTB-055-PRO	ETV3
DTB-055-PRO	TAP1
DTB-055-PRO	BRCA2
DTB-055-PRO	FOXA1
DTB-055-PRO	ZFHX3
DTB-059-BL	SPEN
DTB-059-BL	RPRD2
DTB-059-BL	SF3B1
DTB-059-BL	EHHADH
DTB-059-BL	APC
DTB-059-BL	SSR1
DTB-059-BL	SLC4A2
DTB-059-BL	NBN
DTB-059-BL	RSPO2
DTB-059-BL	MYC
DTB-059-BL	PTPRD
DTB-059-BL	TSC1
DTB-059-BL	AXIN1
DTB-059-BL	PPL
DTB-059-BL	AR
DTB-060-BL	SPATA18
DTB-060-BL	CCND1
DTB-060-BL	TTC28
DTB-061-BL	DHX30
DTB-061-BL	SSR1
DTB-061-BL	ZNF292
DTB-061-BL	COL5A1
DTB-061-BL	RNF31
DTB-063-BL	SETDB1
DTB-063-BL	ZFP36L2
DTB-063-BL	XPO1
DTB-063-BL	PMS1
DTB-063-BL	SF3B1
DTB-063-BL	GEMIN5
DTB-063-BL	BRAF
DTB-063-BL	SLC4A2
DTB-063-BL	KMT2C
DTB-063-BL	WRN
DTB-063-BL	TAF1L
DTB-063-BL	NDST2
DTB-063-BL	KMT2D
DTB-063-BL	ARID4A
DTB-063-BL	AKT1
DTB-063-BL	TSC2
DTB-063-BL	USP7
DTB-063-BL	FANCA
DTB-063-BL	PRPF8
DTB-063-BL	MAP2K4
DTB-063-BL	MBD1
DTB-063-BL	CTDP1
DTB-063-BL	TRPM4
DTB-063-BL	ITSN1
DTB-064-BL	ARID1A
DTB-064-BL	SPATA18
DTB-064-BL	TAP1
DTB-064-BL	CCND1
DTB-064-BL	RNF31
DTB-064-BL	AKT1
DTB-064-BL	FANCA
DTB-064-BL	NCOR1
DTB-064-BL	ETV4
DTB-064-BL	CDC27
DTB-064-BL	TRPM4
DTB-064-BL	MATN4
DTB-064-BL	AR
DTB-067-PRO	ETV3
DTB-067-PRO	FANCD2
DTB-067-PRO	TAP1
DTB-067-PRO	PAX6
DTB-067-PRO	CDKN1B
DTB-067-PRO	RNF31
DTB-067-PRO	TSC2
DTB-067-PRO	GNAS
DTB-069-BL	SH3RF1
DTB-069-BL	KMT2C
DTB-069-BL	CCND1
DTB-069-BL	CDK4
DTB-069-BL	MGA
DTB-069-BL	PIK3R2
DTB-071-BL	EHHADH
DTB-071-BL	ZNF292
DTB-071-BL	NOX3
DTB-071-BL	ADAMTS8
DTB-071-BL	FOXA1
DTB-071-BL	MAP2K1
DTB-071-BL	PIK3R2
DTB-071-BL	TRPM4
DTB-071-BL	CNOT3
DTB-071-BL	MED12
DTB-071-BL	ZMYM3
DTB-074-BL	ETV3
DTB-074-BL	ITSN2
DTB-074-BL	NBN
DTB-074-BL	FOXA1
DTB-077-PRO	EHHADH
DTB-077-PRO	ETV5
DTB-077-PRO	IL6ST
DTB-077-PRO	ZNF292
DTB-077-PRO	NCOR1
DTB-077-PRO	AR
DTB-080-BL	ITSN2
DTB-080-BL	SETD2
DTB-080-BL	MYC
DTB-080-BL	NDST2
DTB-080-BL	NCOR2
DTB-080-BL	MGA
DTB-080-BL	AXL
DTB-080-BL	TRPM4
DTB-080-BL	AR
DTB-080-BL	MED12
DTB-080-BL	ZMYM3
DTB-083-BL	MSH2
DTB-083-BL	SPATA18
DTB-083-BL	IL6ST
DTB-083-BL	COL15A1
DTB-083-BL	AXL
DTB-083-BL	AR
DTB-085-BL	IL6ST
DTB-085-BL	KMT2C
DTB-085-BL	TCF12
DTB-085-BL	NCOR1
DTB-089-BL	IL6ST
DTB-089-BL	SAMD9
DTB-089-BL	SLC4A2
DTB-089-BL	BAG4
DTB-089-BL	FOXA1
DTB-089-BL	PPL
DTB-089-BL	PALB2
DTB-089-BL	PIK3R2
DTB-090-PRO	ELK4
DTB-090-PRO	HRAS
DTB-090-PRO	PAX6
DTB-090-PRO	AR
DTB-091-BL	PAX6
DTB-091-BL	NCOR1
DTB-091-BL	BRIP1
DTB-091-BL	UNC13D
DTB-091-BL	AR
DTB-092-BL	ETV5
DTB-092-BL	TAP1
DTB-092-BL	PTEN
DTB-092-BL	KMT2A
DTB-092-BL	BRCA2
DTB-092-BL	BLM
DTB-092-BL	SPOP
DTB-092-BL	ERCC2
DTB-094-BL	ATR
DTB-094-BL	SPATA18
DTB-094-BL	MYC
DTB-094-BL	FANCG
DTB-097-PRO	MTOR
DTB-097-PRO	DHX30
DTB-097-PRO	NDST2
DTB-097-PRO	CDK4
DTB-097-PRO	ERF
DTB-097-PRO	CNOT3
DTB-097-PRO	ITSN1
DTB-097-PRO	U2AF1
DTB-097-PRO	ZNRF3
DTB-098-PRO2	SH3RF1
DTB-100-BL	ZFP36L2
DTB-100-BL	IL6ST
DTB-100-BL	MAP3K1
DTB-100-BL	AR
DTB-101-BL	CTNNB1
DTB-101-BL	SH3RF1
DTB-101-BL	TAF1L
DTB-101-BL	CCND1
DTB-101-BL	ARID2
DTB-101-BL	TRPM4
DTB-101-BL	ZMYM3
DTB-102-PRO	TAP1
DTB-102-PRO	NOX3
DTB-102-PRO	SLC4A2
DTB-102-PRO	GPR19
DTB-102-PRO	CDKN1B
DTB-102-PRO	AKT1
DTB-104-BL	PYHIN1
DTB-104-BL	SPATA18
DTB-104-BL	GEMIN5
DTB-104-BL	IGF2R
DTB-104-BL	FOXA1
DTB-104-BL	MBD1
DTB-111-PRO	ELK4
DTB-111-PRO	ZFP36L2
DTB-111-PRO	FOXA1
DTB-111-PRO	FANCA
DTB-111-PRO	AR
DTB-111-PRO	MED12
DTB-111-PRO	ZMYM3
DTB-112-BL	PRKDC
DTB-112-BL	KMT2D
DTB-112-BL	MYBBP1A
DTB-112-BL	TP53
DTB-112-BL	CHD3
DTB-112-BL	MAP2K4
DTB-119-PRO	ARID1A
DTB-119-PRO	MYC
DTB-119-PRO	AR
DTB-121-BL	ETV3
DTB-121-BL	LSAMP
DTB-121-BL	IL6ST
DTB-121-BL	MAP3K1
DTB-121-BL	TCERG1
DTB-121-BL	PTEN
DTB-121-BL	CDH1
DTB-121-BL	ZFHX3
DTB-121-BL	MIRLET7BHG
DTB-124-BL	SETD2
DTB-124-BL	PTEN
DTB-126-BL	JAK1
DTB-126-BL	IL6ST
DTB-126-BL	FOXA1
DTB-126-BL	ZFHX3
DTB-126-BL	TP53
DTB-126-BL	CHD3
DTB-126-BL	SPOP
DTB-126-BL	AR
DTB-127-PRO	ARID1A
DTB-127-PRO	PYHIN1
DTB-127-PRO	BRAF
DTB-127-PRO	BAG4
DTB-127-PRO	MYC
DTB-127-PRO	CCND1
DTB-127-PRO	CDK4
DTB-127-PRO	AXIN2
DTB-127-PRO	AR
DTB-128-BL	ITSN2
DTB-128-BL	IL6ST
DTB-128-BL	RASA1
DTB-128-BL	BRCA2
DTB-129-BL	ARID1A
DTB-129-BL	ASXL2
DTB-129-BL	LSAMP
DTB-129-BL	IL6ST
DTB-129-BL	TCERG1
DTB-129-BL	MYC
DTB-129-BL	GPR19
DTB-129-BL	CDKN1B
DTB-129-BL	AXIN1
DTB-129-BL	AR
DTB-132-BL	PYHIN1
DTB-132-BL	ITSN2
DTB-132-BL	RASA1
DTB-132-BL	NKX3-1
DTB-132-BL	ATM
DTB-132-BL	PALB2
DTB-132-BL	MIRLET7BHG
DTB-132-BL	AR
DTB-135-PRO	PIK3CA
DTB-135-PRO	PTEN
DTB-135-PRO	MATN4
DTB-137-PRO	SETDB1
DTB-137-PRO	HDAC4
DTB-137-PRO	BRPF1
DTB-137-PRO	FANCD2
DTB-137-PRO	IL6ST
DTB-137-PRO	TAP1
DTB-137-PRO	RAD51B
DTB-137-PRO	SPOP
DTB-137-PRO	AR
DTB-138-BL	SPATA18
DTB-138-BL	TCERG1
DTB-138-BL	IGF2R
DTB-138-BL	RNF31
DTB-138-BL	CNOT3
DTB-138-BL	AR
DTB-140-BL	IL6ST
DTB-140-BL	TAF1L
DTB-140-BL	COL15A1
DTB-140-BL	AR
DTB-141-BL	MTOR
DTB-141-BL	IL6ST
DTB-141-BL	HRAS
DTB-141-BL	MGA
DTB-141-BL	CHD3
DTB-143-BL	CDK4
DTB-143-BL	MAP2K1
DTB-143-BL	AR
DTB-146-BL	AR
DTB-149-BL	XPO1
DTB-151-BL	TAP1
DTB-151-BL	BRAF
DTB-151-BL	CCND1
DTB-151-BL	FOXA1
DTB-151-BL	RAD51B
DTB-151-BL	MGA
DTB-151-BL	PPL
DTB-151-BL	USP7
DTB-151-BL	AR
DTB-156-BL	ARID1A
DTB-156-BL	KMT2C
DTB-156-BL	MYC
DTB-156-BL	CDKN2A
DTB-156-BL	TBC1D2
DTB-156-BL	COL15A1
DTB-156-BL	RAD51B
DTB-156-BL	TCF12
DTB-159-BL	MSH2
DTB-159-BL	MSH6
DTB-159-BL	FER
DTB-159-BL	MRE11
DTB-159-BL	AKT1
DTB-159-BL	ITSN1
DTB-165-PRO	JAK1
DTB-165-PRO	USP7
DTB-165-PRO	CNOT3
DTB-167-PRO	IL6ST
DTB-167-PRO	GEMIN5
DTB-167-PRO	ETV1
DTB-167-PRO	NBN
DTB-167-PRO	FOXA1
DTB-167-PRO	AR
DTB-170-BL	CHD1
DTB-170-BL	FER
DTB-170-BL	NBN
DTB-170-BL	MYC
